paper_id,title,research_type,contribution_type,evaluation_method
P0090,On the Understanding of BDD Scenarios' Quality: Preliminary Practitioners' Opinions,Opinion Papers,Metric,Experience Report
P0091,RESEARCH ARTICLE | JULY 10 2018,Solution Proposal,Tool,Experience Report
P0092,Orchestration of Domain Specific Test Languages with a Behavior Driven Development approach,Validation Research,Method,Experiment
P0093,Electronic Communications of the EASST,Solution Proposal,Tool,Discussion
P0094,Predicting Co-Changes between Functionality Specifications and Source Code in Behavior Driven Development,Experience Papers,Empirical Insights,Experience Report
P0095,Proposing Regulatory-Driven Automated Test Suites for Electronic Health Record Systems,Philosophical Papers,Empirical Insights,Experiment
P0096,Proposing Regulatory-Driven Automated Test Suites,Validation Research,Empirical Insights,Experiment
P0097,RESEARCH ARTICLE | NOVEMBER 30 2018,Philosophical Papers,Process,Case Study
P0098,Reproducing failures based on semiformal failure scenario descriptions,Evaluation Research,Metric,Rigorous Analysis
P0099,SS-BDD: Automated Acceptance Testing for Spreadsheets,Solution Proposal,Tool,Example
P0100,Scenario-Based Microservice Retrieval Using Word2Vec,Philosophical Papers,Tool,Rigorous Analysis
P0101,Scenarios in the loop: integrated requirements analysis and automotive system validation,Experience Papers,Process,Discussion
P0102,"ScrumOntoBDD: Agile software development based on scrum, ontologies and behaviour-driven development",Philosophical Papers,Process,Case Study
P0103,Security and Privacy Behavior Definition for Behavior Driven Development,Experience Papers,Method,Example
P0104,Skyfire: Model-Based Testing With Cucumber,Validation Research,Tool,Rigorous Analysis
P0105,Speed up BDD for safety verification in agile development: a partially replicated controlled experiment,Solution Proposal,Metric,Rigorous Analysis
P0106,Information and Software Technology,Evaluation Research,Empirical Insights,Case Study
P0107,Ahmet Furkan Oruç and Tolga Ovatman,Validation Research,Metric,Example
P0108,Testing Prototypes and Final User Interfaces Through an Ontological Perspective for Behavior-Driven Development,Philosophical Papers,Process,Experience Report
P0109,The Behavior Driven Development Applied to the Software Quality Test:,Evaluation Research,Metric,Case Study
P0110,The implementation of ATDD and BDD from Testing Perspectives,Validation Research,Method,Case Study
P0111,Toward A Service Platform for Developing Smart Contracts on Blockchain in BDD and TDD styles,Philosophical Papers,Empirical Insights,Discussion
P0112,21st Annual Conference of the European Association for Machine Translation,Opinion Papers,Tool,Experience Report
P0113,Towards Automatic Scenario Generation from Coverage Information,Solution Proposal,Method,Example
P0114,Towards Behavior-Driven Graphical User Interface Testing,Validation Research,Empirical Insights,Rigorous Analysis
P0115,Towards a behavior-oriented specification and testing language for multimodal applications,Solution Proposal,Tool,Discussion
P0116,"MUHAMMAD NOUMAN ZAFAR, Mälardalen University, Vasteras, Västmanland, Sweden WASIF AFZAL, Mälardalen University, Vasteras, Västmanland, Sweden EDUARD PAUL ENOIU, Mälardalen University, Vasteras, Västmanland, Sweden",Philosophical Papers,Model,Rigorous Analysis
P0117,Towards Accountability Driven Development for Machine Learning Systems,Solution Proposal,Method,Experience Report
P0118,TOWARDS BEHAVIOR DRIVEN OPERATIONS (BDOps),Evaluation Research,Process,Example
P0119,Transition towards Continuous Delivery in the Healthcare Domain,Opinion Papers,Tool,Discussion
P0120,specifications wrien in concordia,Validation Research,Tool,Experience Report
P0121,Using BDD and SBVR to refine business goals into an Event-B model: a research idea,Philosophical Papers,Model,Case Study
P0122,Using Behaviour-driven Requirements Engineering for Establishing and Managing Agile Product Lines,Philosophical Papers,Method,Case Study
P0123,Using gherkin to extract tests and monitors for safer medical device interaction design,Evaluation Research,Empirical Insights,Discussion
P0124,The Journal of Systems and Software,Opinion Papers,Tool,Rigorous Analysis
P0125,Using Behaviour-Driven Development with Hardware-Software Co-Design for Autonomous Load Management,Validation Research,Model,Example
P0126,Using Executable Specification and Regression Testing for Broadcast Mechanism of Visual Programming Language on Smartphones,Solution Proposal,Tool,Experiment
